,lag_1,lag_24,lag_168
mean,0.6411852862492174,0.3814435150532004,0.3485542182494964
naive,0.7873647896137999,0.2671509070294755,-0.15883927905393697
seasonal_naive_daily,0.5470115376156398,-0.29940859976030076,-0.16445181407854395
seasonal_naive_weekly,0.6380800039042784,0.06230228272686093,-0.4183784037678255
drift,0.7878425074710201,0.26579964388476357,-0.16240071344867932
sarimax,0.5573596313773751,0.1388412571873232,0.0013125233871272646
feature_model,0.41048165296139183,-0.027035221597527147,-0.10718302889615662
foundation_model,0.5922462765260108,0.03941610333656888,-0.2387685347899455
