model,MAE,RMSE,MASE,Bias,added_group,n_features,known_at_origin,evaluated_on
candidate,39.59081480238173,62.01466721758246,0.7410710550856279,5.346763028038874,calendar,7,True,valid
candidate,35.49962812756735,58.44714045961904,0.6644911705646717,5.301623896946985,lag,13,True,valid
candidate,47.36543454064263,68.92905043676977,0.8865983871469005,22.591717614067925,rolling,19,True,valid
candidate,45.399770010085334,68.2939629008893,0.8498045728524581,19.935053310697043,house,20,False,valid
candidate,78.02358794969226,105.79381777043507,1.4604655885982494,60.39427943078298,indoor,44,False,valid
candidate,78.1390339533488,104.66696798265701,1.462626536589904,59.81900506549412,outdoor,50,False,valid
