,median,p75,p90,p95,max
mean,39.77602142389818,45.87731572620899,107.64778048892747,157.53163911002244,397.8814517787374
naive,68.33333333333334,106.66666666666666,166.66666666666669,253.74999999999997,353.33333333333337
seasonal_naive_daily,18.3333333333333,58.33333333333334,154.16666666666663,212.49999999999997,360.0
seasonal_naive_weekly,13.333333333333336,44.16666666666665,141.66666666666663,210.0,405.0
drift,68.4968386894291,107.19312455003598,166.7255085466662,254.89856922222208,353.20623731709924
sarimax,15.902984174747367,46.1334393454187,79.96372329312364,144.7733579882199,372.08324624692847
feature_model,14.743209400553148,45.08559854497356,91.93190889550257,145.59674441588498,390.285505952381
foundation_model,9.796450000000004,31.594004583333348,108.503675,154.67389299999996,392.030014
