model,MAE,RMSE,MASE,Bias
foundation_model,34.26801781349206,68.08730217201506,0.6414375719089752,-16.569491412698408
feature_model,35.3838686883553,62.03269394611325,0.6623243556056668,-2.372628995508459
sarimax,36.25453501161881,64.73598723415866,0.6786217117987402,-6.325350808423541
seasonal_naive_weekly,43.457341269841265,81.40888006825948,0.8134456920578471,-13.159722222222223
seasonal_naive_daily,48.30853174603175,85.56471876821425,0.9042515232223918,1.750992063492064
mean,50.25809156123767,74.938304240935,0.9407438853124056,-3.286761541802698
naive,85.55059523809524,110.38970919802894,1.6013580471317992,50.97718253968254
drift,85.80208937959709,110.67918975059627,1.6060655791621683,51.36792204027676
