date,mean,naive,seasonal_naive_daily,seasonal_naive_weekly,drift,sarimax,feature_model,foundation_model
0,42.878913061371904,97.14285714285714,4.64285714285714,4.285714285714287,97.33041210314238,5.7734198505143235,3.5559574915824887,3.394438690476192
1,42.52177020422904,96.78571428571429,3.452380952380952,3.690476190476194,97.00452840604704,2.786096285821661,3.5246296403662503,2.687522976190478
2,44.426532108990955,98.69047619047619,6.071428571428574,5.000000000000002,98.94054947085648,4.987157035077415,4.003757794784586,4.076271642857143
3,44.54557972803857,98.80952380952381,5.47619047619048,4.523809523809523,99.09085624995166,3.240714141309668,4.124389977581936,4.529567476190475
4,43.117008299467145,97.38095238095238,4.642857142857145,2.9761904761904767,97.69354398142775,2.5502257860974424,2.9992731408802826,3.7575666190476165
5,37.91566351609356,90.83333333333333,11.428571428571432,9.642857142857142,91.17718409385624,8.742534404734327,9.92571583178727,8.470761904761904
6,36.569389251848094,90.83333333333333,12.857142857142858,14.523809523809524,91.20844325390378,8.704014524319978,13.602887387909695,4.695328261904763
7,30.36110974648641,76.19047619047619,32.023809523809526,34.88095238095238,76.55710059151237,29.646709597776596,25.65493929516254,22.075222809523805
8,43.74679600653348,72.14285714285714,52.738095238095234,52.02380952380952,72.47904170177696,44.499794805599045,34.15242425316085,33.0593058095238
9,63.320176682238234,89.04761904761905,67.26190476190477,56.42857142857143,89.32825698514424,64.19779529873541,54.59690293667974,54.115143476190475
10,76.53993493863872,93.80952380952381,83.21428571428571,70.35714285714286,94.02499166767636,77.64457736934337,59.25649502035666,66.94167016666665
11,84.90453786136179,110.71428571428571,104.8809523809524,113.09523809523809,110.94322031357281,91.0680865487834,88.55100900587506,90.58852845238096
12,54.19973058188575,79.52380952380952,81.9047619047619,72.97619047619047,79.83719158303306,54.740852562792455,60.926292001649166,59.783027380952376
13,64.49838275830265,92.73809523809526,106.90476190476191,88.80952380952382,93.13952088305385,67.75433021877079,56.93641673967568,69.73407978571429
14,36.877860166618014,86.78571428571429,72.14285714285714,50.476190476190474,87.3283911507726,38.0196167237556,41.5612527700474,39.85893519047619
15,41.71783744762433,90.11904761904762,72.97619047619048,50.59523809523811,90.64553943365675,43.78423733558554,47.222938515684056,47.0352541904762
16,60.66073408134573,82.14285714285714,93.09523809523809,93.69047619047619,82.45058017454298,60.79488099753613,58.73677650226756,70.367199
17,117.42705661405829,89.28571428571429,108.45238095238095,90.83333333333333,89.31514232248944,81.15823287356413,80.99757382498451,90.03302
18,62.76589618576143,64.40476190476191,64.40476190476191,83.21428571428571,64.52293669894529,56.431963813721254,76.31510806405898,49.206564047619054
19,32.115382579055854,32.49999999999999,37.619047619047606,40.119047619047606,32.52215008411365,20.547644330730062,38.72338435374151,21.46515016666666
20,36.23879076607501,59.76190476190475,64.40476190476188,45.1190476190476,59.795651084149696,44.75991925881015,32.565320734985896,34.12392683333332
21,32.807265753639555,82.97619047619047,36.07142857142857,30.119047619047617,83.05424059223164,29.418025350434984,25.886941438191432,20.231364738095237
22,36.45034163280048,90.71428571428571,10.95238095238095,11.309523809523814,90.83932235447585,13.661272702922147,10.890542038153646,10.169263571428573
23,39.587507497239066,89.88095238095238,21.785714285714285,14.285714285714281,90.0213499299977,15.19673846211559,14.50191976095994,12.033314333333333
