,importance
hour,0.15390428936044728
lag_168,0.1336172668776848
lag_24,0.13001148505392032
lag_48,0.10261456743305239
lag_72,0.09411286511506985
lag_26,0.09272909815635764
lag_25,0.09057552705894271
hour_sin,0.06624602196169245
hour_cos,0.053969260567939374
dow_sin,0.03597933530056394
dayofweek,0.024454410513829367
dow_cos,0.018914962001380486
is_weekend,0.002870910599119389
